"id","menu_id_name","menu_id_parent_id/id","link","sequence"
"menu1","Getting Started","vuente_help_support_submenu1","http://vuente.com/slides/channel/category/13","0"
"menu2","To Do List","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/12","10"
"menu3","Contacts","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/16","20"
"menu4","Marketing","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/20","30"
"menu5","Events","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/14","40"
"menu6","Products and Services","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/5","45"
"menu7","Your Team","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/15","50"
"menu8","Accounting","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/17","60"
"menu9","Dashboards","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/18","70"
"menu10","Website","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/11","100"
"menu11","Admin","vuente_help_support_submenu2","http://vuente.com/slides/channel/category/19","130"
"menu12","Ask for Support","vuente_help_support_submenu1","http://vuente.com/support/ticket/submit","140"
"menu13","Directory and Sitemap","vuente_help_support_submenu1","http://vuente.com/doc/how-to","150"

